"noc","edition","bronze","silver","gold","total"
"AUS",1896,0,0,2,2
"AUT",1896,2,1,2,5
"DEN",1896,3,2,1,6
"FRA",1896,2,4,5,11
"GBR",1896,2,3,2,7
"GER",1896,2,5,26,33
"GRE",1896,22,20,10,52
"HUN",1896,3,1,2,6
"SUI",1896,0,2,1,3
"USA",1896,2,7,11,20
"ZZX",1896,2,2,2,6
"AUS",1900,3,0,2,5
"AUT",1900,3,3,0,6
"BEL",1900,15,19,5,39
"BOH",1900,1,1,0,2
"CAN",1900,1,0,1,2
"CUB",1900,0,1,1,2
"DEN",1900,2,3,1,6
"ESP",1900,0,0,2,2
"FRA",1900,53,86,46,185
"GBR",1900,10,20,48,78
"GER",1900,10,19,11,40
"HUN",1900,2,2,1,5
"IND",1900,0,2,0,2
"ITA",1900,0,2,2,4
"NED",1900,15,5,0,20
"NOR",1900,3,6,0,9
"SUI",1900,1,1,13,15
"SWE",1900,1,0,0,1
"USA",1900,14,14,27,55
"ZZX",1900,8,8,18,34
"AUT",1904,1,0,0,1
"CAN",1904,0,9,26,35
"CUB",1904,3,2,4,9
"GBR",1904,0,1,1,2
"GER",1904,5,4,4,13
"GRE",1904,1,0,1,2
"HUN",1904,1,1,2,4
"SUI",1904,1,0,1,2
"USA",1904,111,137,146,394
"ZZX",1904,0,5,3,8
"ANZ",1908,2,2,15,19
"AUT",1908,1,0,0,1
"BEL",1908,6,24,1,31
"BOH",1908,5,0,0,5
"CAN",1908,26,8,17,51
"DEN",1908,3,12,0,15
"FIN",1908,27,1,1,29
"FRA",1908,21,5,9,35
"GBR",1908,68,135,144,347
"GER",1908,7,11,4,22
"GRE",1908,0,3,0,3
"HUN",1908,5,7,6,18
"ITA",1908,0,5,2,7
"NED",1908,11,0,0,11
"NOR",1908,3,34,7,44
"RSA",1908,0,1,1,2
"RU1",1908,0,2,1,3
"SWE",1908,11,18,69,98
"USA",1908,15,14,34,63
"ANZ",1912,3,2,5,10
"AUT",1912,5,9,0,14
"BEL",1912,9,1,9,19
"CAN",1912,3,2,3,8
"DEN",1912,34,45,5,84
"FIN",1912,22,36,9,67
"FRA",1912,5,10,10,25
"GBR",1912,58,58,44,160
"GER",1912,23,19,10,52
"GRE",1912,1,0,1,2
"HUN",1912,3,17,10,30
"ITA",1912,2,1,18,21
"NED",1912,22,0,0,22
"NOR",1912,29,6,41,76
"RSA",1912,0,2,5,7
"RU1",1912,9,5,0,14
"SWE",1912,25,62,86,173
"USA",1912,31,25,45,101
"AUS",1920,1,5,0,6
"BEL",1920,65,66,57,188
"BRA",1920,5,1,1,7
"CAN",1920,3,3,10,16
"DEN",1920,1,44,30,75
"ESP",1920,0,24,0,24
"EST",1920,0,2,1,3
"FIN",1920,17,14,18,49
"FRA",1920,55,73,13,141
"GBR",1920,17,35,55,107
"GRE",1920,0,5,0,5
"ITA",1920,7,9,68,84
"JPN",1920,0,3,0,3
"LUX",1920,0,1,0,1
"NED",1920,24,10,14,48
"NOR",1920,27,56,58,141
"NZL",1920,1,0,0,1
"RSA",1920,6,12,3,21
"SUI",1920,21,2,6,29
"SWE",1920,57,36,53,146
"TCH",1920,10,0,0,10
"USA",1920,38,45,110,193
"ARG",1924,2,3,6,11
"AUS",1924,2,5,3,10
"AUT",1924,1,3,0,4
"BEL",1924,6,29,3,38
"CAN",1924,1,19,0,20
"DEN",1924,2,8,2,12
"EST",1924,4,1,1,6
"FIN",1924,15,13,24,52
"FRA",1924,20,63,39,122
"GBR",1924,20,29,17,66
"HAI",1924,7,0,0,7
"HUN",1924,8,10,2,20
"ITA",1924,21,5,25,51
"JPN",1924,1,0,0,1
"NED",1924,17,1,8,26
"NOR",1924,3,7,16,26
"NZL",1924,1,0,0,1
"POL",1924,1,4,0,5
"POR",1924,3,0,0,3
"ROU",1924,23,0,0,23
"RSA",1924,1,1,1,3
"SUI",1924,21,31,13,65
"SWE",1924,49,25,6,80
"TCH",1924,5,4,1,10
"URU",1924,0,0,22,22
"USA",1924,51,37,110,198
"YUG",1924,0,0,2,2
"ARG",1928,5,24,3,32
"AUS",1928,1,2,1,4
"AUT",1928,2,0,2,4
"BEL",1928,4,1,0,5
"CAN",1928,21,5,7,33
"CHI",1928,0,1,0,1
"DEN",1928,3,5,5,13
"EGY",1928,1,1,2,4
"ESP",1928,0,0,3,3
"EST",1928,6,1,2,9
"FIN",1928,9,8,8,25
"FRA",1928,13,16,7,36
"GBR",1928,24,25,6,55
"GER",1928,39,13,20,72
"HAI",1928,0,1,0,1
"HUN",1928,0,11,9,20
"IND",1928,0,0,15,15
"IRL",1928,0,0,1,1
"ITA",1928,31,21,18,70
"JPN",1928,1,5,2,8
"NED",1928,6,39,20,65
"NOR",1928,1,4,4,9
"NZL",1928,0,0,1,1
"PHI",1928,1,0,0,1
"POL",1928,14,3,1,18
"RSA",1928,5,0,1,6
"SUI",1928,5,8,16,29
"SWE",1928,21,8,7,36
"TCH",1928,2,12,2,16
"URU",1928,0,0,22,22
"USA",1928,17,24,43,84
"YUG",1928,10,1,1,12
"ARG",1932,0,1,3,4
"AUS",1932,1,1,3,5
"AUT",1932,3,1,1,5
"CAN",1932,23,13,2,38
"DEN",1932,4,5,0,9
"ESP",1932,1,0,0,1
"FIN",1932,16,8,5,29
"FRA",1932,6,8,23,37
"GBR",1932,14,12,8,34
"GER",1932,5,26,7,38
"HUN",1932,8,4,20,32
"IND",1932,0,0,11,11
"IRL",1932,0,0,2,2
"ITA",1932,18,38,21,77
"JPN",1932,4,17,10,31
"LAT",1932,0,1,0,1
"MEX",1932,0,2,0,2
"NED",1932,0,10,2,12
"NZL",1932,0,2,0,2
"PHI",1932,3,0,0,3
"POL",1932,14,3,2,19
"RSA",1932,3,0,2,5
"SUI",1932,0,1,0,1
"SWE",1932,12,7,12,31
"TCH",1932,1,2,1,4
"URU",1932,1,0,0,1
"USA",1932,59,44,78,181
"ARG",1936,4,2,5,11
"AUS",1936,1,0,0,1
"AUT",1936,4,41,5,50
"BEL",1936,12,0,0,12
"CAN",1936,9,12,1,22
"DEN",1936,3,3,0,6
"EGY",1936,2,1,2,5
"EST",1936,3,2,2,7
"FIN",1936,13,6,7,26
"FRA",1936,18,13,12,43
"GBR",1936,8,16,12,36
"GER",1936,59,63,88,210
"HUN",1936,16,1,25,42
"IND",1936,0,0,19,19
"ITA",1936,5,30,36,71
"JPN",1936,8,4,9,21
"LAT",1936,1,1,0,2
"MEX",1936,16,0,0,16
"NED",1936,21,7,9,37
"NOR",1936,15,12,1,28
"NZL",1936,0,0,1,1
"PHI",1936,1,0,0,1
"POL",1936,4,5,0,9
"POR",1936,3,0,0,3
"ROU",1936,0,2,0,2
"RSA",1936,0,1,0,1
"SUI",1936,24,22,1,47
"SWE",1936,16,11,7,34
"TCH",1936,0,12,5,17
"TUR",1936,1,0,1,2
"USA",1936,15,26,51,92
"YUG",1936,0,1,0,1
"ARG",1948,1,8,3,12
"AUS",1948,5,9,2,16
"AUT",1948,3,0,1,4
"BEL",1948,8,2,4,14
"BRA",1948,12,0,0,12
"CAN",1948,5,1,0,6
"CUB",1948,0,2,0,2
"DEN",1948,27,15,7,49
"EGY",1948,1,2,2,5
"ESP",1948,0,3,0,3
"FIN",1948,7,7,15,29
"FRA",1948,21,22,25,68
"GBR",1948,11,39,6,56
"HUN",1948,21,24,15,60
"IND",1948,0,0,20,20
"IRI",1948,1,0,0,1
"ITA",1948,12,31,20,63
"JAM",1948,0,2,1,3
"KOR",1948,2,0,0,2
"MEX",1948,4,1,4,9
"NED",1948,32,2,8,42
"NOR",1948,11,4,3,18
"PAN",1948,2,0,0,2
"PER",1948,0,0,1,1
"POL",1948,1,0,0,1
"POR",1948,3,2,0,5
"PUR",1948,1,0,0,1
"RSA",1948,1,1,2,4
"SRI",1948,0,1,0,1
"SUI",1948,5,22,5,32
"SWE",1948,29,15,29,73
"TCH",1948,3,3,14,20
"TRI",1948,0,1,0,1
"TUR",1948,2,4,6,12
"URU",1948,2,1,0,3
"USA",1948,35,30,83,148
"YUG",1948,0,16,0,16
"ARG",1952,2,2,2,6
"AUS",1952,11,2,7,20
"AUT",1952,2,1,0,3
"BEL",1952,0,3,4,7
"BRA",1952,2,0,1,3
"BUL",1952,1,0,0,1
"CAN",1952,0,3,1,4
"CHI",1952,0,4,0,4
"DEN",1952,5,1,3,9
"EGY",1952,1,0,0,1
"ESP",1952,0,1,0,1
"FIN",1952,29,3,8,40
"FRA",1952,16,9,14,39
"GBR",1952,26,2,3,31
"GER",1952,26,14,0,40
"HUN",1952,32,17,52,101
"IND",1952,1,0,14,15
"IRI",1952,4,3,0,7
"IRL",1952,0,1,0,1
"ITA",1952,15,21,17,53
"JAM",1952,0,3,5,8
"JPN",1952,2,9,1,12
"KOR",1952,2,0,0,2
"LIB",1952,1,1,0,2
"LUX",1952,0,0,1,1
"MEX",1952,0,1,0,1
"NED",1952,0,18,0,18
"NOR",1952,0,8,5,13
"NZL",1952,2,0,1,3
"POL",1952,1,2,1,4
"POR",1952,2,0,0,2
"ROU",1952,2,1,1,4
"RSA",1952,4,8,2,14
"SUI",1952,12,19,2,33
"SWE",1952,23,24,23,70
"TCH",1952,10,4,11,25
"TRI",1952,2,0,0,2
"TUR",1952,1,0,2,3
"URS",1952,19,62,36,117
"URU",1952,14,0,0,14
"USA",1952,28,23,79,130
"VEN",1952,1,0,0,1
"YUG",1952,0,20,4,24
"ARG",1956,1,1,0,2
"AUS",1956,26,12,23,61
"AUT",1956,4,0,0,4
"BAH",1956,2,0,0,2
"BEL",1956,0,2,0,2
"BRA",1956,0,0,1,1
"BUL",1956,14,3,1,18
"CAN",1956,5,9,5,19
"CHI",1956,2,2,0,4
"DEN",1956,1,5,1,7
"EUA",1956,22,23,12,57
"FIN",1956,22,1,3,26
"FRA",1956,13,13,6,32
"GBR",1956,22,15,8,45
"GRE",1956,1,0,0,1
"HUN",1956,14,20,30,64
"IND",1956,0,0,17,17
"IRI",1956,1,2,2,5
"IRL",1956,3,1,1,5
"ISL",1956,0,1,0,1
"ITA",1956,10,11,25,46
"JPN",1956,5,15,4,24
"KOR",1956,1,1,0,2
"MEX",1956,1,0,1,2
"NOR",1956,2,0,1,3
"NZL",1956,0,0,3,3
"PAK",1956,0,14,0,14
"POL",1956,9,9,1,19
"ROU",1956,10,3,6,19
"RSA",1956,7,0,0,7
"SUI",1956,3,0,0,3
"SWE",1956,6,14,14,34
"TCH",1956,1,5,1,7
"TUR",1956,2,2,3,7
"URS",1956,55,46,68,169
"URU",1956,12,0,0,12
"USA",1956,20,37,61,118
"YUG",1956,0,23,0,23
"ARG",1960,1,3,0,4
"AUS",1960,9,17,10,36
"AUT",1960,0,2,1,3
"BEL",1960,2,2,0,4
"BRA",1960,13,0,0,13
"BUL",1960,3,3,1,7
"BWI",1960,5,0,0,5
"CAN",1960,0,9,0,9
"DEN",1960,4,17,2,23
"EGY",1960,1,1,0,2
"ESP",1960,14,0,0,14
"ETH",1960,0,0,1,1
"EUA",1960,21,33,34,88
"FIN",1960,4,1,1,6
"FRA",1960,5,6,0,11
"GBR",1960,15,11,2,28
"GHA",1960,0,1,0,1
"GRE",1960,0,0,3,3
